;Район;Cena;LnCena;CenaM;Nkomnat;PlOb;LnPlOb;PlZ;LnPlZ;PlK;LnPlK;ketaz;Type;Tel
101;Первомайский;53700;10.8911682805;1377;2;39;3.6635616461;24;3.1780538303;6.2;1.8245492921;0;0;1
102;Первомайский;55000;10.9150884642;1447;2;38;3.6375861597;24.2;3.1863526332;5.7;1.7404661748;1;1;0
103;Партизанский;64000;11.0666383623;1684;1;38;3.6375861597;24.6;3.2027464429;-;4.6249728133;0;1;0
104;Партизанский;85000;11.3504065355;1476;3;57.6;4.0535225677;24.7;3.2068032436;24.2;3.1863526332;0;0;0
105;Фрунзенский;54000;10.8967393255;1216;2;44.4;3.7932394694;24.8;3.2108436532;8.2;2.1041341543;1;1;1
106;Ленинский;47000;10.7579028807;603;2;78;4.3567088267;25;3.2188758249;11;2.3978952728;0;1;1
107;Партизанский;65000;11.0821425489;1625;2;40;3.6888794541;25;3.2188758249;5;1.6094379124;1;1;1
108;Первомайский;75000;11.2252433925;1645;2;45.6;3.8199077165;25;3.2188758249;8;2.0794415417;0;1;1
109;Первомайский;54000;10.8967393255;1317;2;41;3.7135720667;25;3.2188758249;6;1.7917594692;1;0;1
110;Первомайский;54000;10.8967393255;1317;2;41;3.7135720667;25.5;3.2386784522;6.3;1.8405496334;0;0;1
111;Заводской;48000;10.7789562899;1171;2;41;3.7135720667;26;3.258096538;2;0.6931471806;1;0;1
112;Московский;71000;11.170435156;1690;2;42;3.7376696183;26;3.258096538;6.4;1.8562979904;0;1;1
113;Октябрьский;54000;10.8967393255;1317;2;41;3.7135720667;26;3.258096538;6;1.7917594692;0;1;1
114;Центральный;54000;10.8967393255;1286;2;42;3.7376696183;26;3.258096538;6;1.7917594692;1;1;1
115;Первомайский;53800;10.8930287461;1312;2;41;3.7135720667;26.2;3.2657594108;6;1.7917594692;1;0;1
116;Заводской;45000;10.7144177688;1184;2;38;3.6375861597;27;3.295836866;5;1.6094379124;1;1;1
117;Заводской;50000;10.8197782844;1163;2;43;3.7612001157;27;3.295836866;6;1.7917594692;1;1;0
118;Московский;55000;10.9150884642;1279;2;43;3.7612001157;27;3.295836866;6;1.7917594692;0;0;1
119;Фрунзенский;53500;10.8874369329;1216;2;44;3.7841896339;27;3.295836866;6;1.7917594692;0;0;1
121;Фрунзенский;54900;10.9132686275;1177;2;46.66;3.8428872666;27.01;3.2962071678;9.11;2.2093727113;1;0;1
122;Первомайский;131000;11.7829526022;1650;1;79.4;4.3744983683;27.7;3.3214324132;17.1;2.8390784635;0;1;0
123;Заводской;50000;10.8197782844;1064;2;47;3.8501476017;28;3.3322045102;7.2;1.974081026;0;0;1
124;Заводской;50000;10.8197782844;1087;2;46;3.8286413965;28;3.3322045102;6;1.7917594692;1;0;1
125;Заводской;76500;11.2450460198;1471;2;52;3.9512437186;28;3.3322045102;9.33;2.2332350149;0;0;1
126;Ленинский;60000;11.0020998412;1277;2;47;3.8501476017;28;3.3322045102;7.2;1.974081026;0;0;1
127;Ленинский;65900;11.0958937205;1402;2;47;3.8501476017;28;3.3322045102;7;1.9459101491;0;0;1
128;Ленинский;62000;11.034889664;1127;2;55;4.0073331852;28;3.3322045102;9.5;2.2512917986;0;0;1
129;Ленинский;52000;10.8589989976;1209;2;43;3.7612001157;28;3.3322045102;6;1.7917594692;0;0;1
130;Московский;62000;11.034889664;1319;2;47;3.8501476017;28;3.3322045102;7;1.9459101491;0;0;1
131;Московский;72000;11.184421398;1371;2;52.5;3.9608131696;28;3.3322045102;9.3;2.2300144002;1;0;1
132;Московский;55000;10.9150884642;1122;2;49;3.8918202981;28;3.3322045102;7.5;2.0149030205;0;0;1
133;Октябрьский;54500;10.9059559807;1160;2;47;3.8501476017;28;3.3322045102;7;1.9459101491;0;0;1
134;Первомайский;53000;10.8780471925;1205;2;44;3.7841896339;28;3.3322045102;6;1.7917594692;1;0;1
135;Советский;75000;11.2252433925;1531;2;49;3.8918202981;28;3.3322045102;9;2.1972245773;0;1;1
136;Фрунзенский;70000;11.156250521;1400;2;50;3.9120230054;28;3.3322045102;10;2.302585093;1;1;1
137;Фрунзенский;53000;10.8780471925;1233;2;43;3.7612001157;28;3.3322045102;6;1.7917594692;1;0;1
138;Центральный;50000;10.8197782844;1316;2;38;3.6375861597;28;3.3322045102;5;1.6094379124;1;1;1
139;Центральный;60000;11.0020998412;1364;2;44;3.7841896339;28;3.3322045102;6;1.7917594692;0;0;1
140;Центральный;57000;10.9508065468;1163;2;49;3.8918202981;28;3.3322045102;6;1.7917594692;1;0;1
141;Центральный;175000;12.0725412529;3431;2;51;3.9318256327;28;3.3322045102;8;2.0794415417;0;1;1
142;Центральный;54500;10.9059559807;1267;2;43;3.7612001157;28;3.3322045102;6.1;1.8082887712;0;1;1
144;Заводской;54500;10.9059559807;1173;2;46.47;3.8388069431;28.2;3.3393219779;7.16;1.968509981;0;0;1
145;Фрунзенский;73000;11.1982147201;1495;2;48.83;3.8883448781;28.34;3.3442742343;7.2;1.974081026;0;0;1
146;Заводской;54500;10.9059559807;1160;2;47;3.8501476017;28.5;3.3499040873;7.2;1.974081026;1;0;1
147;Заводской;55000;10.9150884642;1171;2;46.95;3.8490832057;28.56;3.3520071375;7.2;1.974081026;0;0;1
148;Ленинский;54500;10.9059559807;1087;2;50.14;3.9148190927;28.56;3.3520071375;6.45;1.8640801308;1;1;1
149;Московский;53500;10.8874369329;1173;2;45.6;3.8199077165;28.6;3.3534067178;5.9;1.7749523509;0;0;1
150;Московский;55000;10.9150884642;1279;2;43;3.7612001157;28.6;3.3534067178;5.6;1.7227665977;1;0;1
151;Первомайский;54000;10.8967393255;1227;2;44;3.7841896339;28.6;3.3534067178;6.2;1.8245492921;0;0;1
152;Первомайский;54500;10.9059559807;1256;2;43.4;3.7704594411;28.7;3.3568971228;6;1.7917594692;1;0;1
153;Фрунзенский;53000;10.8780471925;1199;2;44.2;3.7887247891;28.7;3.3568971228;6.2;1.8245492921;1;0;0
154;Октябрьский;110000;11.6082356448;1957;2;56.2;4.0289167569;28.9;3.3638415951;10;2.302585093;0;0;0
155;Ленинский;55000;10.9150884642;1250;2;44;3.7841896339;29;3.36729583;6.1;1.8082887712;1;0;1
156;Московский;54000;10.8967393255;1256;2;43;3.7612001157;29;3.36729583;5.6;1.7227665977;0;1;1
157;Октябрьский;53500;10.8874369329;1244;2;43.01;3.7614326468;29;3.36729583;6;1.7917594692;1;1;1
158;Партизанский;54900;10.9132686275;1274;2;43.1;3.7635229971;29;3.36729583;6;1.7917594692;0;1;1
159;Первомайский;63000;11.0508900054;1432;2;44;3.7841896339;29;3.36729583;6;1.7917594692;0;0;1
160;Первомайский;87000;11.3736633976;1445;2;60.2;4.0976723523;29;3.36729583;9.5;2.2512917986;0;1;1
161;Фрунзенский;68000;11.1272629842;1360;2;50;3.9120230054;29;3.36729583;9;2.1972245773;0;0;1
162;Центральный;110000;11.6082356448;2000;2;55;4.0073331852;29;3.36729583;8.5;2.1400661635;0;0;1
163;Московский;55000;10.9150884642;1279;2;43;3.7612001157;29.2;3.3741687093;6.2;1.8245492921;1;0;1
164;Ленинский;62800;11.0477103525;1256;2;50;3.9120230054;29.3;3.377587516;9;2.1972245773;0;0;1
165;Октябрьский;55000;10.9150884642;1238;2;44.41;3.7934646693;29.3;3.377587516;5.88;1.7715567619;0;1;1
166;Фрунзенский;66000;11.097410021;1320;2;50;3.9120230054;29.31;3.3779287547;7.14;1.9657127764;0;0;1
167;Октябрьский;55000;10.9150884642;1100;2;50;3.9120230054;29.4;3.3809946743;7.2;1.974081026;0;0;1
168;Фрунзенский;54900;10.9132686275;1009;2;54.4;3.9963641539;29.5;3.3843902633;8.3;2.1162555148;1;0;1
169;Партизанский;55000;10.9150884642;1168;2;47.1;3.852273001;29.6;3.3877743613;9.1;2.2082744135;1;1;1
170;Московский;55000;10.9150884642;1369;2;40.18;3.6933693594;29.63;3.3887873616;4.77;1.5623463049;0;1;1
171;Советский;79900;11.2885311318;1658;2;48.18;3.8749439972;29.68;3.3904734183;6.59;1.8855533485;1;1;1
172;Ленинский;55000;10.9150884642;1242;2;44.3;3.7909846771;29.7;3.3911470458;5.6;1.7227665977;1;1;1
173;Советский;75400;11.230562554;1300;1;58;4.0604430105;29.7;3.3911470458;11.4;2.4336133554;0;0;0
174;Ленинский;80000;11.2897819137;1597;2;50.1;3.9140210081;29.8;3.3945083935;7.5;2.0149030205;0;1;1
175;Ленинский;55000;10.9150884642;1100;2;50;3.9120230054;30;3.4011973817;6.7;1.9021075264;0;1;1
176;Московский;58000;10.9681982895;1234;2;47;3.8501476017;30;3.4011973817;7;1.9459101491;0;0;1
177;Октябрьский;49700;10.8137602121;1156;2;43;3.7612001157;30;3.4011973817;6;1.7917594692;0;0;1
178;Первомайский;57500;10.9595402268;1278;2;45;3.8066624898;30;3.4011973817;6;1.7917594692;0;0;1
179;Первомайский;85000;11.3504065355;1574;2;54;3.9889840466;30;3.4011973817;10;2.302585093;0;1;1
180;Советский;90000;11.4075649493;1689;2;53.3;3.9759363312;30;3.4011973817;9;2.1972245773;0;1;1
181;Советский;129000;11.7675676833;2179;2;59.2;4.0809215419;30;3.4011973817;11.9;2.4765384001;1;1;0
182;Фрунзенский;59000;10.9852927229;1180;2;50;3.9120230054;30;3.4011973817;8.4;2.1282317058;0;0;1
183;Фрунзенский;66000;11.097410021;1320;2;50;3.9120230054;30;3.4011973817;7.2;1.974081026;0;0;0
184;Фрунзенский;85000;11.3504065355;1466;2;58;4.0604430105;30;3.4011973817;11;2.3978952728;0;0;0
185;Центральный;49000;10.7995755771;1140;2;43;3.7612001157;30;3.4011973817;6;1.7917594692;1;0;0
186;Центральный;148000;11.9049675527;2387;3;62;4.127134385;30;3.4011973817;18.2;2.9014215941;1;1;1
187;Центральный;53000;10.8780471925;1178;2;45;3.8066624898;30;3.4011973817;5.8;1.7578579176;1;1;1
188;Фрунзенский;65000;11.0821425489;1477;2;44;3.7841896339;30.3;3.4111477125;5.7;1.7404661748;0;0;1
189;Московский;55000;10.9150884642;1310;2;42;3.7376696183;30.5;3.4177266836;6.2;1.8245492921;0;1;1
190;Первомайский;53000;10.8780471925;1152;2;46;3.8286413965;30.5;3.4177266836;5.6;1.7227665977;0;0;1
191;Октябрьский;52000;10.8589989976;1128;2;46.1;3.83081295;30.6;3.421000009;5.9;1.7749523509;0;0;0
192;Партизанский;53500;10.8874369329;1166;2;45.89;3.8262472284;30.6;3.421000009;6;1.7917594692;0;0;1
193;Первомайский;53000;10.8780471925;1178;2;45;3.8066624898;30.6;3.421000009;5.8;1.7578579176;0;0;1
194;Центральный;53000;10.8780471925;1186;2;44.7;3.7999735016;30.7;3.4242626546;5.9;1.7749523509;0;0;1
195;Фрунзенский;54500;10.9059559807;1217;2;44.8;3.8022081394;30.9;3.4307561839;6;1.7917594692;0;0;1
196;Заводской;68000;11.1272629842;1115;2;61;4.1108738642;31;3.4339872045;9.5;2.2512917986;1;0;0
197;Ленинский;75000;11.2252433925;1293;2;58;4.0604430105;31;3.4339872045;9.8;2.2823823857;1;0;1
198;Ленинский;85000;11.3504065355;1417;2;60;4.0943445622;31;3.4339872045;9;2.1972245773;0;0;1
199;Первомайский;51000;10.8395809117;1214;2;42;3.7376696183;31;3.4339872045;6;1.7917594692;1;0;1
200;Первомайский;51000;10.8395809117;1214;2;42;3.7376696183;31;3.4339872045;6;1.7917594692;1;0;1
201;Советский;83000;11.3265958868;1766;2;47;3.8501476017;31;3.4339872045;8;2.0794415417;0;1;1
202;Советский;54000;10.8967393255;1256;2;43;3.7612001157;31;3.4339872045;6.1;1.8082887712;0;1;0
203;Фрунзенский;69000;11.1418617836;1353;2;51;3.9318256327;31;3.4339872045;7.2;1.974081026;0;1;1
204;Фрунзенский;72000;11.184421398;1180;2;61;4.1108738642;31;3.4339872045;9.5;2.2512917986;0;0;0
205;Фрунзенский;55000;10.9150884642;1168;2;47.1;3.852273001;31;3.4339872045;7.6;2.0281482473;1;0;1
206;Центральный;53000;10.8780471925;1218;2;43.5;3.7727609381;31;3.4339872045;6.5;1.8718021769;0;0;1
207;Центральный;54000;10.8967393255;1200;2;45;3.8066624898;31;3.4339872045;7.5;2.0149030205;1;0;1
208;Фрунзенский;54000;10.8967393255;1253;2;43.1;3.7635229971;31.3;3.4436180975;5.6;1.7227665977;0;1;1
209;Советский;190000;12.1547793511;3405;2;55.8;4.0217738694;31.4;3.4468078929;8.7;2.1633230257;0;1;1
210;Ленинский;55000;10.9150884642;1170;2;47;3.8501476017;31.5;3.4499875458;6.12;1.8115620965;0;0;1
211;Ленинский;54000;10.8967393255;1144;2;47.2;3.8543938926;31.7;3.4563166809;6.2;1.8245492921;1;0;0
212;Фрунзенский;73000;11.1982147201;1351;2;54.03;3.9895394479;31.7;3.4563166809;9.4;2.2407096893;1;0;1
213;Октябрьский;54000;10.8967393255;1116;2;48.4;3.8794998137;31.8;3.4594662898;7.4;2.0014800002;0;0;1
214;Первомайский;54000;10.8967393255;1144;2;47.2;3.8543938926;31.8;3.4594662898;6;1.7917594692;1;0;1
215;Фрунзенский;55000;10.9150884642;1136;2;48.4;3.8794998137;31.8;3.4594662898;7.5;2.0149030205;1;0;1
216;Заводской;54500;10.9059559807;1160;2;47;3.8501476017;32;3.4657359028;6.2;1.8245492921;1;0;1
217;Ленинский;105000;11.5617156291;1750;2;60;4.0943445622;32;3.4657359028;10;2.302585093;1;1;1
218;Ленинский;54000;10.8967393255;1149;2;47;3.8501476017;32;3.4657359028;6;1.7917594692;1;0;1
219;Ленинский;54700;10.9096189884;1094;2;50;3.9120230054;32;3.4657359028;6.2;1.8245492921;0;0;1
220;Ленинский;55000;10.9150884642;1170;2;47;3.8501476017;32;3.4657359028;6.2;1.8245492921;1;0;1
221;Октябрьский;82000;11.3144745262;1421;2;57.7;4.0552571735;32;3.4657359028;10;2.302585093;0;0;1
222;Октябрьский;54000;10.8967393255;1080;2;50;3.9120230054;32;3.4657359028;7.5;2.0149030205;1;0;1
223;Партизанский;70000;11.156250521;1346;2;52;3.9512437186;32;3.4657359028;9;2.1972245773;0;1;1
224;Советский;69000;11.1418617836;1500;2;46;3.8286413965;32;3.4657359028;7.2;1.974081026;0;1;1
225;Фрунзенский;60000;11.0020998412;1000;3;60;4.0943445622;32;3.4657359028;10;2.302585093;0;0;1
226;Фрунзенский;62500;11.0429218357;1157;2;54;3.9889840466;32;3.4657359028;9.3;2.2300144002;0;0;1
227;Фрунзенский;54500;10.9059559807;1144;2;47.63;3.8634628148;32;3.4657359028;6.2;1.8245492921;1;0;1
228;Центральный;120000;11.6952470218;2222;2;54;3.9889840466;32;3.4657359028;8;2.0794415417;1;1;1
229;Заводской;58000;10.9681982895;1155;2;50.2;3.9160150267;32.1;3.4688560301;7.1;1.960094784;0;1;1
230;Фрунзенский;54000;10.8967393255;1137;2;47.5;3.860729711;32.1;3.4688560301;6.2;1.8245492921;1;0;1
231;Центральный;54500;10.9059559807;1230;2;44.3;3.7909846771;32.52;3.4818552847;5.8;1.7578579176;0;1;0
232;Заводской;51000;10.8395809117;1092;2;46.7;3.8437441647;32.8;3.4904285154;6;1.7917594692;1;0;1
234;Заводской;67000;11.1124478984;1314;2;51;3.9318256327;33;3.4965075615;8;2.0794415417;0;1;1
235;Заводской;53500;10.8874369329;1189;2;45;3.8066624898;33;3.4965075615;6;1.7917594692;0;0;1
236;Фрунзенский;52000;10.8589989976;1156;2;45;3.8066624898;33;3.4965075615;6;1.7917594692;1;0;1
237;Центральный;150000;11.9183905731;2239;2;67;4.2046926194;33;3.4965075615;10;2.302585093;1;1;1
238;Центральный;53000;10.8780471925;1152;2;46;3.8286413965;33;3.4965075615;6;1.7917594692;1;0;1
239;Центральный;53500;10.8874369329;1189;2;45;3.8066624898;33;3.4965075615;6;1.7917594692;0;0;1
240;Центральный;54000;10.8967393255;1200;2;45;3.8066624898;33;3.4965075615;5.7;1.7404661748;0;0;1
241;Октябрьский;54900;10.9132686275;1036;2;53;3.9702919136;33.5;3.5115454388;8;2.0794415417;0;1;1
242;Фрунзенский;150000;11.9183905731;2113;2;71;4.262679877;33.6;3.514526067;19;2.9444389792;0;1;1
243;Заводской;55000;10.9150884642;1122;2;49;3.8918202981;34;3.5263605246;6;1.7917594692;1;0;1
244;Ленинский;56000;10.9331069697;1120;2;50;3.9120230054;34;3.5263605246;6.2;1.8245492921;0;0;1
245;Ленинский;69500;11.1490820316;1139;2;61;4.1108738642;34;3.5263605246;8;2.0794415417;0;1;0
246;Советский;79000;11.2772031314;1491;2;53;3.9702919136;34;3.5263605246;6;1.7917594692;0;1;0
247;Заводской;55000;10.9150884642;1102;2;49.9;3.9100210028;34.4;3.5380565644;6.2;1.8245492921;0;0;1
248;Октябрьский;54000;10.8967393255;1087;2;49.7;3.9060049331;34.4;3.5380565644;6.2;1.8245492921;0;0;1
249;Ленинский;68500;11.1345890243;1245;3;55;4.0073331852;35;3.5553480615;7.6;2.0281482473;0;1;1
